rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss
9000.0,74,616,1894400,3071,-6022568.173766878,8.5202046e-08,0.2,-1.0946501473784447,2.4393600000000003e-05,0.0,123543976.0,730,-6.238470319658518e-06,0.0,230154797.504
9000.0,75,620,1920000,3093,-6016878.3278344,5.183974e-08,0.2,-1.0910042445659638,2.43168e-05,0.0,137990624.0,740,-4.521542112343013e-06,1.7881393432617188e-07,260389186.048
9000.0,76,604,1945600,3218,-6004896.206146412,8.178642e-08,0.2,-1.1010547791719436,2.4240000000000002e-05,0.0,144942672.0,750,-7.223747437819838e-06,0.0,272336440.672
9000.0,77,608,1971200,3240,-6001457.423925532,7.884577e-08,0.2,-1.0785280866622924,2.41632e-05,0.0,146396736.0,760,-6.813031854107976e-06,0.0,266573011.072
9000.0,78,612,1996800,3262,-5991324.352970541,8.765142e-08,0.2,-1.0939948481321335,2.40864e-05,0.0,155483120.0,770,-7.597261224873364e-06,3.5762786865234375e-07,294320427.264
9000.0,79,615,2022400,3283,-5981225.18261494,1.5078112e-07,0.2,-1.083324985921383,2.40096e-05,0.0,108872712.0,780,-1.0571268503554166e-05,0.0,216611195.984
9000.0,80,619,2048000,3305,-5986648.12908647,6.8335794e-08,0.2,-1.0881696755886079,2.3932800000000002e-05,0.0,121675872.0,790,-5.898226401768625e-06,0.0,236243670.144
9000.0,81,604,2073600,3430,-5972678.232673282,5.8475415e-08,0.2,-1.0979710542559624,2.3856e-05,0.0,132827824.0,800,-5.3439150797203185e-06,0.0,276442899.104
9000.0,82,607,2099200,3452,-5975423.083239399,1.2182863e-07,0.2,-1.0911584808826447,2.37792e-05,0.0,117953312.0,810,-9.587242850102485e-06,0.0,254505777.264
9000.0,83,611,2124800,3474,-5947052.50400033,4.942529e-08,0.2,-1.0909655430316925,2.3702400000000002e-05,0.0,174794992.0,820,-5.21727604791522e-06,0.0,325694924.544
9000.0,84,615,2150400,3496,-5943638.19953674,1.1735596e-07,0.2,-1.088902898132801,2.36256e-05,0.0,106597176.0,830,-8.804187062196434e-06,1.1920928955078125e-07,245552277.04
