rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/policy_gradient_loss
-1384575.56441784,1638400,64,4079,401,13883.48,1.2253412e-07,4440285.21875,2138090.75,0.2,0.0,2.51616e-05,2.384185791015625e-07,630,-0.3047530761510134,-4.473600769415498e-06
-1385797.55057788,1664000,65,4101,405,13887.58,3.319932e-08,4285311.12,2084601.625,0.2,0.0,2.50848e-05,0.0,640,-0.30036710058152677,-1.0867478558793665e-06
-1386549.77201154,1689600,66,4286,394,13884.22,8.367933e-09,5963957.0135,2757008.0,0.2,0.0,2.5008000000000002e-05,0.0,650,-0.31554105323553083,-4.6057754661887886e-07
-1380714.1860949101,1715200,67,4308,398,13872.73,4.9462543e-08,4494777.826,2264018.0,0.2,0.0,2.49312e-05,0.0,660,-0.30231305097043515,-1.948720950167626e-06
-1379593.7729871902,1740800,68,4331,401,13869.65,6.049173e-08,3865689.6515,1856349.5,0.2,0.0,2.48544e-05,5.960464477539063e-08,670,-0.3053571356981993,-1.6947938711382448e-06
-1375881.6722504103,1766400,69,4353,405,13866.17,6.406335e-08,4706824.40275,2658193.25,0.2,0.0,2.47776e-05,1.1920928955078125e-07,680,-0.29820907387137413,-2.1247518016025423e-06
-1376004.83677432,1792000,70,4375,409,13859.86,3.8668514e-08,5907235.505,2778422.0,0.2,0.0,2.47008e-05,5.960464477539063e-08,690,-0.28524457781016826,-1.9720757845789195e-06
-1374799.1443639698,1817600,71,4563,398,13855.39,3.009336e-08,6892755.664,3411096.25,0.2,0.0,2.4624e-05,5.960464477539063e-08,700,-0.29729348412156104,-1.5147867379710078e-06
-1376110.3205268402,1843200,72,4586,401,13855.12,2.7623027e-08,6504494.1335,3121426.5,0.2,0.0,2.45472e-05,2.384185791015625e-07,710,-0.29095724461972716,-1.5998694580048322e-06
-1376011.37630631,1868800,73,4608,405,13859.42,2.6156194e-08,6444701.587,3016935.0,0.2,0.0,2.44704e-05,0.0,720,-0.3097549606710672,-1.305317971855402e-06
-1378778.98535742,1894400,74,4631,409,13866.41,1.1848286e-07,3092146.7245,1562877.375,0.2,0.0,2.4393600000000003e-05,2.384185791015625e-07,730,-0.29470168566703797,-3.007474122568965e-06
-1376394.03406606,1920000,75,4653,412,13860.64,7.5786375e-08,4700008.92725,2440756.5,0.2,0.0,2.43168e-05,0.0,740,-0.2819405408203602,-2.079199533909559e-06
-1377154.9531774,1945600,76,4839,402,13859.92,3.8060826e-08,4601808.529,2153193.75,0.2,0.0,2.4240000000000002e-05,2.384185791015625e-07,750,-0.30128221775591374,-1.823892816901207e-06
-1375518.2975975997,1971200,77,4861,405,13863.87,4.6519563e-08,5215281.797,2770450.0,0.2,0.0,2.41632e-05,1.1920928955078125e-07,760,-0.294396119043231,-1.7840206855908035e-06
-1369553.6535665998,1996800,78,4883,408,13860.77,1.0344665e-07,5259226.3545,2601274.25,0.2,0.0,2.40864e-05,1.1920928955078125e-07,770,-0.29593745651841163,-2.945097628980875e-06
-1365416.6134406,2022400,79,4906,412,13852.45,6.4210035e-08,3679863.032,1681780.0,0.2,0.0,2.40096e-05,5.960464477539063e-08,780,-0.3059501461237669,-2.5707816239446403e-06
-1361273.3642643201,2048000,80,4928,415,13849.05,8.439179e-08,4507952.92925,2225401.0,0.2,0.0,2.3932800000000002e-05,1.1920928955078125e-07,790,-0.32298412120342257,-2.3816847824491562e-06
-1363667.26860558,2073600,81,5139,403,13845.48,2.6898924e-08,5445578.5295,2791017.25,0.2,0.0,2.3856e-05,1.7881393432617188e-07,800,-0.2935578060895205,-8.702401537448167e-07
-1361778.1400225703,2099200,82,5162,406,13840.45,9.339303e-08,4845555.9795,2555801.0,0.2,0.0,2.37792e-05,2.384185791015625e-07,810,-0.29937068271636963,-2.8159124776721e-06
-1352374.4132041899,2124800,83,5184,409,13836.06,1.2323726e-07,4562934.485,2341905.5,0.2,0.0,2.3702400000000002e-05,1.7881393432617188e-07,820,-0.300280484572053,-4.118661629036069e-06
-1349888.1792838702,2150400,84,5207,412,13835.82,4.674308e-08,4632455.96175,2331533.25,0.2,0.0,2.36256e-05,1.7881393432617188e-07,830,-0.29268060831725595,-1.4191318769007921e-06
-1349031.4705501301,2176000,85,5229,416,13837.12,1.1818949e-07,5058137.307,2516191.75,0.2,0.0,2.35488e-05,2.384185791015625e-07,840,-0.2916934143900871,-2.6890792651101946e-06
-1346830.56752648,2201600,86,5416,406,13833.6,4.522968e-08,5856144.828,2803676.75,0.2,0.0,2.3472e-05,2.384185791015625e-07,850,-0.30398858496546743,-1.2907773489132523e-06
-1346323.67368091,2227200,87,5439,409,13831.06,4.796777e-08,3992604.29125,2007633.25,0.2,0.0,2.33952e-05,2.384185791015625e-07,860,-0.31061620193719863,-2.6319485041312875e-06
-1344918.4654574401,2252800,88,5461,412,13832.38,1.0582851e-07,4963196.392,2221373.0,0.2,0.0,2.33184e-05,-1.1920928955078125e-07,870,-0.29121465699374677,-3.0096974223852157e-06
-1348380.79212497,2278400,89,5483,415,13825.7,3.4158585e-08,5470244.253,2605941.0,0.2,0.0,2.3241599999999998e-05,5.960464477539063e-08,880,-0.2909070767015219,-1.8511263187974691e-06
-1345871.87013464,2304000,90,5506,418,13821.61,6.328104e-08,6709872.7515,3398458.5,0.2,0.0,2.31648e-05,2.384185791015625e-07,890,-0.2928138182461262,-2.3496887879446148e-06
-1345224.2461616502,2329600,91,5693,409,13811.76,6.413553e-08,6232981.177,3008684.5,0.2,0.0,2.3088000000000003e-05,0.0,900,-0.2912832197844982,-2.1670800633728505e-06
-1349180.63797571,2355200,92,5715,412,13813.68,1.1229422e-08,5255077.9495,2796475.0,0.2,0.0,2.3011199999999997e-05,2.384185791015625e-07,910,-0.29418262854218485,-1.1484689894132315e-06
-1347676.85607182,2380800,93,5737,414,13819.17,1.9115395e-08,6884599.3085,3258999.5,0.2,0.0,2.2934400000000002e-05,2.384185791015625e-07,920,-0.3083211731463671,-9.459637803956866e-07
