time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss
563,-661015.42807577,6000.0,2355200,4180,92,0.2,2.384185791015625e-07,910,2.3011199999999997e-05,2.4839444e-06,5779838.0125,-3.351657115854323e-05,0.0,2586690.5,-0.6343466885685921
566,-648957.96919699,6000.0,2380800,4203,93,0.2,2.980232238769531e-07,920,2.2934400000000002e-05,6.2055933e-06,3770349.18575,-6.557532615261152e-05,0.0,1788723.75,-0.6421951941251755
569,-626482.55453031,6000.0,2406400,4226,94,0.2,1.1920928955078125e-07,930,2.28576e-05,7.656037e-06,2953670.3895,-8.272306667640805e-05,0.0,1366595.625,-0.6394837923049926
572,-614942.47466668,6000.0,2432000,4250,95,0.2,1.7881393432617188e-07,940,2.27808e-05,4.624934e-06,2757591.51425,-4.707951180171222e-05,0.0,1308910.75,-0.6407342090010643
564,-610898.4363636599,6000.0,2457600,4351,96,0.2,5.960464477539063e-08,950,2.2704e-05,1.0146064e-05,2852940.9175,-0.00010062234045471996,0.0,1348751.625,-0.6371615863442421
567,-603288.60518183,6000.0,2483200,4374,97,0.2,2.384185791015625e-07,960,2.2627200000000003e-05,4.259292e-06,3344237.00925,-4.489777254639194e-05,0.0,1632535.25,-0.6301626670360565
570,-587481.49239396,6000.0,2508800,4397,98,0.2,5.960464477539063e-08,970,2.25504e-05,4.1345156e-06,3628880.8465,-4.416276200208813e-05,0.0,1594117.125,-0.6318203489780426
573,-571646.6359848701,6000.0,2534400,4421,99,0.2,1.7881393432617188e-07,980,2.24736e-05,4.655081e-06,2553845.0975,-4.599549376871437e-05,0.0,1146632.125,-0.6248069653511047
575,-557007.55210607,6000.0,2560000,4444,100,0.2,1.7881393432617188e-07,990,2.2396800000000002e-05,1.1832281e-05,2092869.201875,-0.00010468791704624891,0.0,1127944.5,-0.6346170238256454
568,-545537.00831819,6000.0,2585600,4545,101,0.2,3.5762786865234375e-07,1000,2.232e-05,8.184442e-06,1692632.867375,-6.545449676923454e-05,0.0,930596.1875,-0.6369716454148292
571,-527853.5143787899,6000.0,2611200,4569,102,0.2,1.7881393432617188e-07,1010,2.22432e-05,1.0679479e-05,1810530.2125,-9.201146068517119e-05,0.0,807603.25,-0.6393938992023468
574,-514042.34734849003,6000.0,2636800,4592,103,0.2,3.5762786865234375e-07,1020,2.21664e-05,1.569245e-05,1215436.458625,-0.00011953294897102751,0.0,574031.8125,-0.6416566979289055
576,-510583.6544697101,6000.0,2662400,4615,104,0.2,1.7881393432617188e-07,1030,2.20896e-05,1.1974061e-05,1624692.056875,-9.799605334410444e-05,0.0,842254.5,-0.6308588131666183
579,-487411.63046969,6000.0,2688000,4639,105,0.2,2.384185791015625e-07,1040,2.20128e-05,6.2809468e-06,1935352.226625,-5.657452892046422e-05,0.0,1073341.25,-0.6212919411659241
572,-474833.4319090801,6000.0,2713600,4739,106,0.2,2.980232238769531e-07,1050,2.1936e-05,1.588785e-05,1154832.965625,-0.0001221482229884714,0.0,636210.75,-0.6235830719470978
575,-462055.87862119003,6000.0,2739200,4762,107,0.2,2.980232238769531e-07,1060,2.18592e-05,6.289254e-06,1934579.15575,-5.728062678826973e-05,0.0,942029.625,-0.6108343292474747
577,-453358.93292422005,6000.0,2764800,4786,108,0.2,2.980232238769531e-07,1070,2.1782400000000003e-05,2.0399308e-05,1166002.26275,-0.0001580643221968785,0.0,585521.625,-0.6210461415052414
580,-432903.69596967,6000.0,2790400,4809,109,0.2,4.172325134277344e-07,1080,2.1705599999999998e-05,2.4591747e-05,1127452.609125,-0.00017248841584660112,0.0,477488.09375,-0.6184222013950348
582,-418587.60857574,6000.0,2816000,4832,110,0.2,2.980232238769531e-07,1090,2.1628800000000002e-05,9.421732e-06,1083723.9189375,-6.674124218989164e-05,0.0,545007.6875,-0.6099817097187042
575,-405629.62636361003,6000.0,2841600,4933,111,0.2,3.5762786865234375e-07,1100,2.1552e-05,1.2218785e-05,1176386.406375,-9.358703170437366e-05,0.0,591964.125,-0.615030833363533
578,-384403.81592422,6000.0,2867200,4956,112,0.2,2.980232238769531e-07,1110,2.14752e-05,1.2485422e-05,919753.01375,-8.411005628295243e-05,0.0,455419.84375,-0.6149686787724495
580,-366953.8856060401,6000.0,2892800,4980,113,0.2,4.172325134277344e-07,1120,2.13984e-05,2.63575e-05,398835.96284375,-0.00012834138720063491,0.0,228726.25,-0.6186349083781242
583,-350942.45274240995,6000.0,2918400,5003,114,0.2,3.5762786865234375e-07,1130,2.1321600000000003e-05,2.0500585e-05,706279.4080625,-0.0001263046481180936,0.0,366122.0625,-0.6037725939154625
584,-331622.49542423,6000.0,2944000,5035,115,0.2,4.76837158203125e-07,1140,2.12448e-05,3.1675583e-05,489917.6343125,-0.00016591536748455837,0.0,248411.375,-0.6073700532913208
578,-319881.24724240997,6000.0,2969600,5136,116,0.2,2.384185791015625e-07,1150,2.1168e-05,2.3213588e-05,350097.5465,-0.00010956777993123978,0.0,174676.4375,-0.6008963316082955
580,-302959.34418181,6000.0,2995200,5163,117,0.2,2.980232238769531e-07,1160,2.10912e-05,2.8119637e-05,396985.21734375,-0.00014312913676258176,0.0,203297.28125,-0.6019463548660279
582,-288371.23907574994,6000.0,3020800,5187,118,0.2,2.980232238769531e-07,1170,2.10144e-05,6.497638e-05,185262.152125,-0.0002259989446029067,0.0,96950.328125,-0.5968555405139923
584,-276815.24780302,6000.0,3046400,5210,119,0.2,7.152557373046875e-07,1180,2.09376e-05,8.2495484e-05,177925.1515,-0.00030048774171154944,0.0,86991.328125,-0.5870860364437104
586,-253874.76366665,6000.0,3072000,5233,120,0.2,3.5762786865234375e-07,1190,2.08608e-05,9.819753e-06,266791.38528125,-4.0539307810831815e-05,0.0,148586.640625,-0.5790511481165886
580,-241012.94236362004,6000.0,3097600,5334,121,0.2,4.76837158203125e-07,1200,2.0784000000000003e-05,0.00010224449,116808.9540703125,-0.00030583977117203175,0.0,53782.05078125,-0.5720094400048256
581,-227835.96374241,6000.0,3123200,5372,122,0.2,2.980232238769531e-07,1210,2.07072e-05,0.00013611032,78287.84378515625,-0.00034519071609247475,0.0,39090.90625,-0.5718335214853286
583,-215172.55869696,6000.0,3148800,5395,123,0.2,2.980232238769531e-07,1220,2.06304e-05,8.894196e-05,122782.00496875,-0.00027744705515215173,0.0,72488.3515625,-0.5587917190790176
583,-200064.92921210002,6000.0,3174400,5444,124,0.2,3.5762786865234375e-07,1230,2.05536e-05,0.00014315016,63732.40080078125,-0.0003647737605497241,0.0,34927.96484375,-0.5500887582600117
585,-190894.75275755004,6000.0,3200000,5467,125,0.2,2.980232238769531e-07,1240,2.0476800000000004e-05,0.00023417595,38179.4363828125,-0.0004448695522150956,0.0,17330.984375,-0.5392189755141735
578,-180150.10313634004,6000.0,3225600,5577,126,0.2,4.172325134277344e-07,1250,2.0399999999999998e-05,0.00014331253,69622.9824609375,-0.0003653331735404208,0.0,36315.25,-0.5207888262271881
578,-165231.59686360005,6000.0,3251200,5624,127,0.2,3.5762786865234375e-07,1260,2.0323200000000002e-05,0.00029217495,22955.1658984375,-0.0005286916553159244,0.0,10215.8623046875,-0.5027507013976574
579,-152225.84256057,6000.0,3276800,5654,128,0.2,3.5762786865234375e-07,1270,2.02464e-05,0.0003160335,24492.395666015625,-0.0005666890394641086,0.0,13201.462890625,-0.4816673462986946
580,-140315.14549996998,6000.0,3302400,5684,129,0.2,3.5762786865234375e-07,1280,2.01696e-05,0.00020917058,30605.319318359376,-0.0004417887320742011,0.0,14165.6826171875,-0.46844301676750183
583,-129721.44209088,6000.0,3328000,5707,130,0.2,2.384185791015625e-07,1290,2.0092800000000002e-05,0.000522401,19392.016315429686,-0.0008450455340789631,0.0,10493.421875,-0.45033051633834836
