         388408497 function calls (387113178 primitive calls) in 354.312 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2984    0.006    0.000    0.257    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\function_type_utils.py:362(make_canonicalized_monomorphic_type)
     7440    0.005    0.000    0.251    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\nest.py:423(pack_sequence_as)
     2984    0.030    0.000    0.250    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:531(canonicalize_to_monomorphic)
     5571    0.058    0.000    0.249    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\op_def_library.py:317(_ExtractAttrProto)
     1206    0.010    0.000    0.233    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\function_type_utils.py:342(make_function_type)
    53800    0.149    0.000    0.218    0.000 c:\Users\s144763\OneDrive - TU Eindhoven\Documents\Github\SMDP_remco\smdp.py:86(set_state)
    12463    0.165    0.000    0.200    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
     2983    0.010    0.000    0.199    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\core\function\polymorphism\function_cache.py:43(lookup)
1376/1176    0.005    0.000    0.198    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\layers\layer.py:1386(__setattr__)
     6442    0.029    0.000    0.194    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\tensor.py:743(__tf_tracing_type__)
    40000    0.065    0.000    0.191    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\numpy\core\fromnumeric.py:1140(argmax)
    14491    0.049    0.000    0.185    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\inspect.py:1835(getattr_static)
1491/1279    0.003    0.000    0.181    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\keras\src\backend\tensorflow\trackable.py:15(__setattr__)
    50735    0.033    0.000    0.179    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\nest_util.py:615(flatten)
    86602    0.039    0.000    0.175    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\util\compat.py:111(as_str)
     3560    0.004    0.000    0.175    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\function_type_utils.py:383(canonicalize_function_inputs)
     1236    0.015    0.000    0.174    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\auto_control_deps.py:265(__enter__)
 1043/890    0.003    0.000    0.173    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\trackable\autotrackable.py:58(__setattr__)
    14062    0.027    0.000    0.173    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\op_def_library.py:52(_SatisfiesTypeConstraint)
    11179    0.171    0.000    0.171    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
     3560    0.008    0.000    0.171    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\eager\polymorphic_function\function_type_utils.py:428(bind_function_inputs)
      443    0.001    0.000    0.170    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\framework\tensor_conversion.py:166(convert_to_tensor_v2)
  920/842    0.001    0.000    0.170    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\site-packages\tensorflow\python\trackable\data_structures.py:124(sticky_attribute_assignment)
153759/153665    0.058    0.000    0.170    0.000 <frozen abc>:117(__instancecheck__)
     9091    0.036    0.000    0.169    0.000 C:\Users\s144763\Anaconda3\envs\remco\Lib\typing.py:1890(__instancecheck__)
