rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
-4411870.6500068605,1740800,3395,9000.0,512,68,-3.940478665754199e-06,0.0,0.0,81473008.0,145263742.488,670,2.48544e-05,4.828442e-08,0.2,-1.08066145247221
-4409806.7309631305,1766400,3418,9000.0,516,69,-5.150472919922322e-06,0.0,0.0,63779384.0,146171552.296,680,2.47776e-05,6.4703634e-08,0.2,-1.0777817988991738
-4406549.03314877,1792000,3441,9000.0,520,70,-4.639162594685331e-06,0.0,0.0,68618248.0,139404965.88,690,2.47008e-05,5.7683792e-08,0.2,-1.086931060552597
-4403783.593900731,1817600,3581,9000.0,507,71,-3.2963843550533055e-06,0.0,0.0,74554936.0,144812213.04,700,2.4624e-05,4.0009617e-08,0.2,-1.0795084159970283
-4397433.528851289,1843200,3604,9000.0,511,72,-4.384806146845221e-06,0.0,0.0,93852784.0,171984602.208,710,2.45472e-05,4.9911904e-08,0.2,-1.071821694970131
-4399883.451032599,1868800,3628,9000.0,515,73,-8.73958063311875e-06,0.0,0.0,52418712.0,117625641.352,720,2.44704e-05,1.3833167e-07,0.2,-1.0521403878331184
-4402327.467485631,1894400,3651,9000.0,518,74,-8.166913641616702e-06,0.0,0.0,76113664.0,145347861.728,730,2.4393600000000003e-05,1.227553e-07,0.2,-1.0751649025678636
-4391062.97219827,1920000,3674,9000.0,522,75,-5.505059030838311e-06,0.0,5.960464477539063e-08,75566016.0,149915868.272,740,2.43168e-05,7.186551e-08,0.2,-1.0795279703736305
-4370028.22393399,1945600,3814,9000.0,510,76,-4.239110392518341e-06,0.0,0.0,71230688.0,135838483.552,750,2.4240000000000002e-05,5.4244882e-08,0.2,-1.0754484300017357
-4375365.288413901,1971200,3838,9000.0,513,77,-5.213681666646153e-06,0.0,0.0,60487180.0,114938012.256,760,2.41632e-05,7.858966e-08,0.2,-1.0777893143892288
-4371500.93599259,1996800,3861,9000.0,517,78,-5.078694317489863e-06,0.0,0.0,83362240.0,160104412.712,770,2.40864e-05,5.9972514e-08,0.2,-1.0868713246583939
-4362674.57107184,2022400,3884,9000.0,520,79,-5.466000176966191e-06,0.0,5.960464477539063e-08,73023864.0,140131648.56,780,2.40096e-05,8.159317e-08,0.2,-1.0541587445139884
-4353656.51017365,2048000,3908,9000.0,524,80,-6.908790674060583e-06,0.0,1.1920928955078125e-07,57998628.0,121960405.344,790,2.3932800000000002e-05,9.452691e-08,0.2,-1.0707345988750459
-4358907.539154889,2073600,4047,9000.0,512,81,-1.4415174955502153e-05,0.0,0.0,89673480.0,148887336.824,800,2.3856e-05,2.0049745e-07,0.2,-1.0675754903554917
-4357032.63256894,2099200,4070,9000.0,515,82,-2.2003448102623223e-06,0.0,-1.1920928955078125e-07,80713800.0,169459019.816,810,2.37792e-05,2.5664923e-08,0.2,-1.076511931836605
-4362087.892843851,2124800,4094,9000.0,518,83,-4.355487937573344e-06,0.0,-1.1920928955078125e-07,71525240.0,147224246.936,820,2.3702400000000002e-05,5.7173892e-08,0.2,-1.0872396906018258
-4364967.20662572,2150400,4117,9000.0,522,84,-5.4029724560678006e-06,0.0,2.384185791015625e-07,81805384.0,158963434.4,830,2.36256e-05,7.550232e-08,0.2,-1.0706192185282708
-4359968.27424761,2176000,4141,9000.0,525,85,-4.747255414258689e-06,0.0,0.0,66317760.0,141189460.208,840,2.35488e-05,6.5446365e-08,0.2,-1.0720611057281495
-4356554.51539547,2201600,4280,9000.0,514,86,-8.797002607025206e-06,0.0,1.7881393432617188e-07,50878348.0,115273826.32,850,2.3472e-05,1.355377e-07,0.2,-1.0620688356161117
-4362116.39738277,2227200,4304,9000.0,517,87,-5.385005264542997e-06,0.0,0.0,59151172.0,126546310.848,860,2.33952e-05,7.884111e-08,0.2,-1.0808528427481652
-4351037.50518763,2252800,4327,9000.0,520,88,-3.318781906273216e-06,0.0,0.0,76484112.0,158177577.456,870,2.33184e-05,3.7334395e-08,0.2,-1.0798292565941812
-4347404.40932989,2278400,4351,9000.0,523,89,-7.92617630213499e-06,0.0,5.960464477539063e-08,78118168.0,140620798.728,880,2.3241599999999998e-05,1.07549134e-07,0.2,-1.0766723197102546
-4345301.322137251,2304000,4374,9000.0,526,90,-2.795205044094473e-06,0.0,-1.1920928955078125e-07,81235040.0,152166143.56,890,2.31648e-05,2.5217886e-08,0.2,-1.0696634812355041
-4343083.529466511,2329600,4514,9000.0,516,91,-6.38639903627336e-06,0.0,0.0,74145888.0,143298846.528,900,2.3088000000000003e-05,8.5432546e-08,0.2,-1.0707545502781868
-4349443.90306154,2355200,4537,9000.0,519,92,-6.8924310617148875e-06,0.0,0.0,71788760.0,138884304.64,910,2.3011199999999997e-05,9.510899e-08,0.2,-1.0583169155716896
-4344264.01616602,2380800,4561,9000.0,521,93,-6.6701862087938935e-06,0.0,-1.1920928955078125e-07,79367768.0,137818223.136,920,2.2934400000000002e-05,9.079231e-08,0.2,-1.0744188407063484
-4334250.487506091,2406400,4584,9000.0,524,94,-3.6568808136507867e-06,0.0,0.0,74982832.0,134449741.168,930,2.28576e-05,5.134614e-08,0.2,-1.0836986311674117
-4338563.8587854,2432000,4607,9000.0,527,95,-2.5792860542424022e-06,0.0,1.7881393432617188e-07,71167664.0,145324928.64,940,2.27808e-05,3.6170242e-08,0.2,-1.068132664501667
-4336527.32058213,2457600,4747,9000.0,517,96,-5.68036554614082e-06,0.0,5.960464477539063e-08,77628600.0,161481927.008,950,2.2704e-05,5.994225e-08,0.2,-1.0749953843951225
