time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,rollout/ep_rew_mean,train/loss,train/clip_range,train/explained_variance,train/approx_kl
357,1647,23,588800,-2.241272304672748e-06,0.0,25813.409090909092,-0.39479768040776253,220,2.83104e-05,30012221.888,-6720572.892358318,14139057.0,0.2,5.960464477539062e-07,3.2584648e-08
368,1669,24,614400,-1.294885005336255e-06,0.0,25805.739130434784,-0.39628378841280937,230,2.82336e-05,31955471.254,-6702077.520433435,16499062.0,0.2,4.76837158203125e-07,1.2624078e-08
378,1690,25,640000,-9.97297465801239e-08,0.0,25808.416666666668,-0.38779737094044686,240,2.8156799999999998e-05,44024330.264,-6733265.1604062505,24475548.0,0.2,1.7881393432617188e-07,0.0
332,1999,26,665600,-5.574446986429393e-07,0.0,25787.92,-0.3927800583541393,250,2.808e-05,36661658.684,-6731942.65375448,16877620.0,0.2,4.76837158203125e-07,1.8626451e-09
342,2020,27,691200,-3.132301499135792e-06,0.0,25794.76923076923,-0.39101419660449027,260,2.8003200000000003e-05,31257693.368,-6710615.82512273,17458760.0,0.2,1.1920928955078125e-07,4.9679073e-08
351,2041,28,716800,-1.624747645109892e-06,0.0,25788.037037037036,-0.3927151377797127,270,2.79264e-05,36425446.754,-6710404.850821592,18527102.0,0.2,3.5762786865234375e-07,2.2905878e-08
359,2063,29,742400,-5.148767959326505e-07,0.0,25795.035714285714,-0.3885719768106937,280,2.7849600000000002e-05,37992339.626,-6719302.940055,20139508.0,0.2,2.980232238769531e-07,1.8300489e-09
368,2084,30,768000,-4.7428696416318417e-07,0.0,25777.55172413793,-0.394790931224823,290,2.7772800000000003e-05,35141893.564,-6709791.079770241,18214800.0,0.2,1.1920928955078125e-07,2.454035e-09
331,2394,31,793600,-2.0762970671057703e-06,0.0,25787.4,-0.38460642352700236,300,2.7696e-05,45649283.616,-6742571.767768334,20813616.0,0.2,2.384185791015625e-07,2.5674234e-08
339,2416,32,819200,-3.235630108974874e-06,0.0,25781.774193548386,-0.3962188200056553,310,2.76192e-05,28073519.27,-6711411.901178323,15353716.0,0.2,1.1920928955078125e-07,5.357666e-08
346,2437,33,844800,-8.111747447401285e-07,0.0,25772.96875,-0.390260328412056,320,2.7542400000000002e-05,35229255.5,-6707943.983021875,16601182.0,0.2,1.1920928955078125e-07,9.3528065e-09
353,2458,34,870400,-1.8965482013300062e-06,0.0,25795.666666666668,-0.39065220388770105,330,2.74656e-05,40821465.208,-6727389.179854363,21738786.0,0.2,2.980232238769531e-07,2.33436e-08
361,2480,35,896000,-1.4945811126381158e-06,0.0,25784.764705882353,-0.38877979704737664,340,2.73888e-05,29486702.01,-6704251.882567882,14158294.0,0.2,3.5762786865234375e-07,1.3147947e-08
330,2790,36,921600,-1.7948002787306905e-06,0.0,25766.685714285715,-0.3894453776180744,350,2.7312e-05,36607011.104,-6698885.798367913,18209200.0,0.2,1.1920928955078125e-07,2.3497268e-08
336,2812,37,947200,-1.1119440896436572e-06,0.0,25795.055555555555,-0.3833309497535229,360,2.72352e-05,40732875.068,-6722056.756746028,19029570.0,0.2,2.980232238769531e-07,8.675269e-09
343,2833,38,972800,-9.113307460211217e-07,0.0,25799.91891891892,-0.3886921960413456,370,2.71584e-05,33614229.262,-6717843.9472510535,16940948.0,0.2,1.1920928955078125e-07,8.93604e-09
